jurisdiction,district_number,district_name,total_party_votes,total_votes,fptp_winner,fptp_party,fptp_is_independent,rpv_winner,result_change,rpv_party
Manitoba,46009,Saint Boniface–Saint Vital,45175,45469,"Vandal, Dan",Liberal,False,"Vandal, Dan",False,Liberal
Saskatchewan,47012,Saskatoon West,33906,33906,"Redekopp, Brad",Conservative,False,"Doucette, Robert",True,NDP-New Democratic Party
Alberta,48009,Calgary Nose Hill,50393,50393,"Rempel Garner, Michelle",Conservative,False,"Rempel Garner, Michelle",False,Conservative
Alberta,48014,Edmonton Centre,49148,49148,"Boissonnault, Randy",Liberal,False,"MacKenzie, Heather",True,NDP-New Democratic Party
Saskatchewan,47013,Souris–Moose Mountain ,39340,39340,"Kitchen, Robert",Conservative,False,"Kitchen, Robert",False,Conservative
Saskatchewan,47014,Yorkton–Melville ,34658,34658,"Wagantall, Cathay",Conservative,False,"Wagantall, Cathay",False,Conservative
Alberta,48011,Calgary Shepard,73331,73559,"Kmiec, Tom",Conservative,False,"Kmiec, Tom",False,Conservative
Ontario,35108,Toronto Centre,45817,45817,"Ien, Marci",Liberal,False,"Ien, Marci",False,Liberal
Alberta,48020,Edmonton West,55989,55989,"McCauley, Kelly",Conservative,False,"McCauley, Kelly",False,Conservative
Alberta,48003,Bow River,51138,51138,"Shields, Martin",Conservative,False,"Shields, Martin",False,Conservative
Saskatchewan,47003,Desnethé–Missinippi–Churchill River,20334,20574,"Vidal, Gary",Conservative,False,"Vidal, Gary",False,Conservative
Saskatchewan,47008,Regina–Qu'Appelle ,32959,32959,"Scheer, Andrew",Conservative,False,"Scheer, Andrew",False,Conservative
Alberta,48022,Foothills,64216,64216,"Barlow, John",Conservative,False,"Barlow, John",False,Conservative
Alberta,48012,Calgary Signal Hill,59707,59707,"Liepert, Ron",Conservative,False,"Liepert, Ron",False,Conservative
Alberta,48015,Edmonton Griesbach,43059,43059,"Desjarlais, Blake",NDP-New Democratic Party,False,"Desjarlais, Blake",False,NDP-New Democratic Party
Alberta,48008,Calgary Midnapore,64530,64530,"Kusie, Stephanie",Conservative,False,"Kusie, Stephanie",False,Conservative
Manitoba,46005,Elmwood–Transcona,41839,41839,"Blaikie, Daniel",NDP-New Democratic Party,False,"Blaikie, Daniel",False,NDP-New Democratic Party
Alberta,48016,Edmonton Manning,49226,49226,"Aboultaif, Ziad",Conservative,False,"St. Germain, Charmaine",True,NDP-New Democratic Party
Alberta,48017,Edmonton Mill Woods,48514,48514,"Uppal, Tim",Conservative,False,"Uppal, Tim",False,Conservative
Alberta,48013,Calgary Skyview,47249,47433,"Chahal, George",Liberal,False,"Sahota, Jag",True,Conservative
Saskatchewan,47011,Saskatoon–University,42517,42517,"Tochor, Corey",Conservative,False,"Card, Claire",True,NDP-New Democratic Party
Saskatchewan,47010,Saskatoon–Grasswood,45604,45604,"Waugh, Kevin",Conservative,False,"Kitzul, Kyla",True,NDP-New Democratic Party
Alberta,48019,Edmonton Strathcona,52223,52223,"McPherson, Heather",NDP-New Democratic Party,False,"McPherson, Heather",False,NDP-New Democratic Party
Alberta,48004,Calgary Centre,59208,59208,"McLean, Greg",Conservative,False,"McLean, Greg",False,Conservative
British Columbia,59002,Burnaby North–Seymour,49184,49184,"Beech, Terry",Liberal,False,"Hanson, Jim",True,NDP-New Democratic Party
Alberta,48024,Grande Prairie–Mackenzie,53140,53140,"Warkentin, Chris",Conservative,False,"Warkentin, Chris",False,Conservative
Alberta,48023,Fort McMurray–Cold Lake,43150,43150,"Goodridge, Laila",Conservative,False,"McDonald, Shawn",True,People's Party - PPC
British Columbia,59004,Cariboo–Prince George,50713,50713,"Doherty, Todd",Conservative,False,"Doherty, Todd",False,Conservative
British Columbia,59007,Cloverdale–Langley City,53250,53250,"Aldag, John",Liberal,False,"Jansen, Tamara",True,Conservative
Saskatchewan,47009,Regina–Wascana ,38600,38600,"Kram, Michael",Conservative,False,"Kram, Michael",False,Conservative
British Columbia,59005,Central Okanagan–Similkameen–Nicola,64210,64210,"Albas, Dan",Conservative,False,"Albas, Dan",False,Conservative
Alberta,48028,Peace River–Westlock,46789,46789,"Viersen, Arnold",Conservative,False,"Boisson, Darryl",True,People's Party - PPC
Alberta,48002,Battle River–Crowfoot,58660,58660,"Kurek, Damien",Conservative,False,"Kurek, Damien",False,Conservative
British Columbia,59014,Kelowna–Lake Country,67142,67142,"Gray, Tracy",Conservative,False,"Gray, Tracy",False,Conservative
British Columbia,59013,Kamloops–Thompson–Cariboo,70038,70448,"Caputo, Frank",Conservative,False,"Sundhu, Bill",True,NDP-New Democratic Party
Alberta,48030,Red Deer–Lacombe,61979,61979,"Calkins, Blaine",Conservative,False,"Lim, Megan",True,People's Party - PPC
